doi,doi + link,pdf?,Ref,double-checked,name,AA,AA_location,temper,temper_location,size,dir,YS [MPa],YS [MPa]_location,UTS [MPa],UTS [MPa]_location,elong [%],elong [%]_location,Hardness,Hardness_location,Hardness UNIT,Hardness UNIT_location,Has comp [True / False / nominal],Has comp [True / False / nominal]_location,Cu,Cu_location,Mn,Mn_location,Si,Si_location,Mg,Mg_location,Zn,Zn_location,Cr,Cr_location,Fe,Fe_location,Ti,Ti_location,Zr,Zr_location,Ag,Ag_location,Be,Be_location,Bi,Bi_location,C,C_location,Ca,Ca_location,Ce,Ce_location,Er,Er_location,Ga,Ga_location,Ge,Ge_location,Hf,Hf_location,La,La_location,Li,Li_location,Ni,Ni_location,P,P_location,Pb,Pb_location,Sc,Sc_location,Sn,Sn_location,Sr,Sr_location,V,V_location,Yb,Yb_location,Other properties / data,Microstructure [None / OM / SEM / EBSD / TEM / APT],doi,Pfeiffer_no,series,who added,Notes,article_type,journal,publisher,included_in_dataset,pdf,xml
10.1016/j.jallcom.2013.08.214,10.1016/j.jallcom.2013.08.214,Y,Feng2014,TRUE,Al-4Cu-1.3Mg-0.6Si,,,,,,,402,,441,,7.2,,153.7913551,plot,HV,,TRUE,,4,,,,0.6,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.jallcom.2013.08.214,309,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jallcom.2013.08.214,10.1016/j.jallcom.2013.08.214,Y,Feng2014,TRUE,Al-4Cu-1.3Mg-0.9Si,,,,,,,420,,452,,5,,158.6682024,plot,HV,,TRUE,,4,,,,0.9,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,10.1016/j.jallcom.2013.08.214,310,2000,,,journal_article,Journal of Alloys and Compounds,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.corsci.2011.09.021,10.1016/j.corsci.2011.09.021,Y,Lee2012,TRUE,L (longitudinal),2024,,T351,,,,377,,475,,17,,,,,,nominal,,4.35,,0.6,,0.5,,1.5,,0.25,,0.1,,0.5,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SSRT corrosion,,10.1016/j.corsci.2011.09.021,336,2000,,,journal_article,Corrosion Science,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.corsci.2011.09.021,10.1016/j.corsci.2011.09.021,Y,Lee2012,TRUE,T (transverse),2024,,T351,,,,334,,463,,16,,,,,,nominal,,4.35,,0.6,,0.5,,1.5,,0.25,,0.1,,0.5,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.corsci.2011.09.021,337,2000,,,journal_article,Corrosion Science,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.corsci.2011.09.021,10.1016/j.corsci.2011.09.021,Y,Lee2012,TRUE,ST (short transverse),2024,,T351,,,,306,,400,,5,,,,,,nominal,,4.35,,0.6,,0.5,,1.5,,0.25,,0.1,,0.5,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.corsci.2011.09.021,338,2000,,,journal_article,Corrosion Science,Elsevier BV,TRUE,FALSE,FALSE
10.1016/s0013-7944(98)00101-5,10.1016/s0013-7944(98)00101-5,Y,Rokhlin1999,TRUE,345,2024,,T3,,,,345,,483,,17.5,,,,,,TRUE,,4.6,,0.63,,0.06,,1.53,,0.25,,0.01,,0.19,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/s0013-7944(98)00101-5,339,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2011.05.005,10.1016/j.engfracmech.2011.05.005,Y,Kermanidis2011,TRUE,2024 sheet,2024,,T351,,,L,338,,456,,22.4,,,,,,TRUE,,4.25,,0.5,,0.09,,1.36,,0.16,,0.0083,,0.019,,0.02,,0.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,fatigue,OM,10.1016/j.engfracmech.2011.05.005,340,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2011.05.005,10.1016/j.engfracmech.2011.05.005,Y,Kermanidis2011,TRUE,2024 sheet,2024,,T351,,,LT,298,,446,,21.2,,,,,,TRUE,,4.25,,0.5,,0.09,,1.36,,0.16,,0.0083,,0.019,,0.02,,0.0062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,fatigue,OM,10.1016/j.engfracmech.2011.05.005,341,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2011.05.005,10.1016/j.engfracmech.2011.05.005,Y,Kermanidis2011,TRUE,2024 plate,2024,,T351,,,L,367,,463,,17.8,,,,,,TRUE,,4.17,,0.19,,0.07,,1.41,,0.19,,0.0061,,0.014,,0.03,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,fatigue,OM,10.1016/j.engfracmech.2011.05.005,342,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2011.05.005,10.1016/j.engfracmech.2011.05.005,Y,Kermanidis2011,TRUE,2024 plate,2024,,T351,,,LT,333,,471,,15,,,,,,TRUE,,4.17,,0.19,,0.07,,1.41,,0.19,,0.0061,,0.014,,,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004,,,,,,,,,,,,fatigue,OM,10.1016/j.engfracmech.2011.05.005,343,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2010.08.021,10.1016/j.engfracmech.2010.08.021,Y,Steglich2010,TRUE,L,2198,,T8,,,,469,,510,,14,,,,,,nominal,,3.2,,0.5,,0.08,,0.13,,0.35,,0.05,,0.15,,0.1,,0.11,,0.3,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,10.1016/j.engfracmech.2010.08.021,344,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2010.08.021,10.1016/j.engfracmech.2010.08.021,Y,Steglich2010,TRUE,T,2198,,T8,,,,452,,498,,13,,,,,,nominal,,3.2,,0.5,,0.08,,0.13,,0.35,,0.05,,0.15,,0.1,,0.11,,0.3,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,10.1016/j.engfracmech.2010.08.021,345,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2010.08.021,10.1016/j.engfracmech.2010.08.021,Y,Steglich2010,TRUE,D,2198,,T8,,,,394,,436,,16,,,,,,nominal,,3.2,,0.5,,0.08,,0.13,,0.35,,0.05,,0.15,,0.1,,0.11,,0.3,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,,,,,10.1016/j.engfracmech.2010.08.021,346,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfracmech.2007.04.013,10.1016/j.engfracmech.2007.04.013,Y,Fersini2008,TRUE,1.6,2024,,T3,,,,325,,461,,11,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1016/j.engfracmech.2007.04.013,347,2000,,,journal_article,Engineering Fracture Mechanics,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfailanal.2010.08.007,10.1016/j.engfailanal.2010.08.007,Y,Ferdous,TRUE,370,2024,,T3,,4mm,,370,,460,,22.9,,,,,,TRUE,,4.48,,0.55,,0.07,,1.51,,0.08,,0.03,,0.18,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatigue,,10.1016/j.engfailanal.2010.08.007,348,2000,,,journal_article,Engineering Failure Analysis,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfailanal.2008.10.016,10.1016/j.engfailanal.2008.10.016,Y,Jha2009,TRUE,AA 2219-T6,2219,,T6,,,,340,,430,,11,,,,,,TRUE,,6.8,,0.4,,0.24,,,,,,0.007,,0.08,,0.06,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.engfailanal.2008.10.016,349,2000,,,journal_article,Engineering Failure Analysis,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.engfailanal.2008.10.016,10.1016/j.engfailanal.2008.10.016,Y,Jha2009,TRUE,AA 2219-T87,2219,,T87,,,,356,,452,,12,,,,,,TRUE,,6.1,,0.41,,0.27,,,,,,0.007,,0.1,,0.06,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.engfailanal.2008.10.016,350,2000,,,journal_article,Engineering Failure Analysis,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2018.07.003,10.1016/j.msea.2018.07.003,Y,Mondol2018,TRUE,RT,2219,,T851,,,,345,,455,,12,,,,,,TRUE,,6.5,,0.32,,0.05,,,,,,,,0.13,,0.03,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,10.1016/j.msea.2018.07.003,354,2000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-014-2494-8,10.1007/s11661-014-2494-8,,Cui2014,TRUE,"T6 (540 degC/4 h, 165 degC/5 h)",A356,,T6,,,,241,,273,,1.1,,,,,,TRUE,,,,,,6.93,,0.43,,,,,,0.09,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FSW,,10.1007/s11661-014-2494-8,370,4000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.msea.2012.12.029,10.1016/j.msea.2012.12.029,Y,Lee2013,TRUE,As-cast,A356,,,,,,96.4,,183.5,,9.1,,,,,,TRUE,,0.14,,0.01,,7.18,,0.35,,,,,,0.02,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,CVN,,10.1016/j.msea.2012.12.029,371,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.12.029,10.1016/j.msea.2012.12.029,Y,Lee2013,TRUE,Solution treatment (540 degC); followed by artificial aging at 160 degC for 16 h,A356,,T6,,,,227.8,,292.8,,8.6,,,,,,TRUE,,0.14,,0.01,,7.18,,0.35,,,,,,0.02,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,CVN,,10.1016/j.msea.2012.12.029,372,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.12.029,10.1016/j.msea.2012.12.029,Y,Lee2013,TRUE,,A356,,T6,,,,232.8,,295.5,,8.2,,,,,,TRUE,,0.14,,0.01,,7.18,,0.35,,,,,,0.02,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,CVN,,10.1016/j.msea.2012.12.029,373,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.12.029,10.1016/j.msea.2012.12.029,Y,Lee2013,TRUE,,A356,,T6,,,,233.4,,297.2,,8.1,,,,,,TRUE,,0.14,,0.01,,7.18,,0.35,,,,,,0.02,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,CVN,,10.1016/j.msea.2012.12.029,374,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.12.029,10.1016/j.msea.2012.12.029,Y,Lee2013,TRUE,Artificial aging (160 degC); after solution treatment at 540 degC for 6 h,A356,,T6,,,,170.3,,255.4,,10,,,,,,TRUE,,0.14,,0.01,,7.18,,0.35,,,,,,0.02,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,CVN,,10.1016/j.msea.2012.12.029,375,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2012.12.029,10.1016/j.msea.2012.12.029,Y,Lee2013,TRUE,,A356,,T6,,,,268.7,,308.1,,4.1,,,,,,TRUE,,0.14,,0.01,,7.18,,0.35,,,,,,0.02,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,CVN,,10.1016/j.msea.2012.12.029,377,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.actamat.2011.10.029,10.1016/j.actamat.2011.10.029,Y,Sha2012,TRUE,T4,,,T4,,,,176,,299,,18,,87.86635404,plot,HV,,TRUE,,0.04,,0.01,,6.8,,0.49,,0.06,,,,0.13,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,atom probe,"TEM, APT",10.1016/j.actamat.2011.10.029,394,4000,,,journal_article,Acta Materialia,Elsevier BV,TRUE,FALSE,FALSE
10.1007/s11661-014-2515-7,10.1007/s11661-014-2515-7,,Timelli2014,TRUE,O6.0,A380,,T1,,,,173,,344,,5,,,,,,TRUE,,2.846,,0.257,,8.314,,0.251,,0.897,,0.08,,0.793,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,0.081,,,,0.083,,,,,,,,,,,,,OIM,10.1007/s11661-014-2515-7,424,4000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2515-7,10.1007/s11661-014-2515-7,,Timelli2014,TRUE,O3.4,A380,,T1,,,,160,,333,,5.3,,,,,,TRUE,,2.846,,0.257,,8.314,,0.251,,0.897,,0.08,,0.793,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,0.081,,,,0.083,,,,,,,,,,,,,OIM,10.1007/s11661-014-2515-7,425,4000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1007/s11661-014-2515-7,10.1007/s11661-014-2515-7,,Timelli2014,TRUE,O3.0,A380,,T1,,,,148,,306,,4.6,,,,,,TRUE,,2.846,,0.257,,8.314,,0.251,,0.897,,0.08,,0.793,,,,,,,,,,0.013,,,,,,,,,,,,,,,,,,,,0.081,,,,0.083,,,,,,,,,,,,,OIM,10.1007/s11661-014-2515-7,426,4000,,,journal_article,Metallurgical and Materials Transactions A,Springer Science and Business Media LLC,TRUE,FALSE,FALSE
10.1016/j.msea.2015.03.021,10.1016/j.msea.2015.03.021,Y,Han2015,TRUE,Al-12Si,,,T6,,,,221,,287,,3.3,,,,,,TRUE,,4.13,,0.2,,12.37,,0.82,,0.006,,,,0.42,,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.67,,,,,,,,,,,,,,,,high T tensile,,10.1016/j.msea.2015.03.021,427,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2013.03.084,10.1016/j.msea.2013.03.084,Y,Mohamed2013,TRUE,A/T6,,,T6,,,,307.412,,338.648,,,,,,,,TRUE,,1.85,,0.01,,9.43,,0.49,,,,,,0.08,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.015,,,,,,high T tensile,OIM,10.1016/j.msea.2013.03.084,429,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2013.03.084,10.1016/j.msea.2013.03.084,Y,Mohamed2013,TRUE,B/T6,,,T6,,,,309.732,,337.652,,,,,,,,TRUE,,1.84,,0.01,,9.16,,0.49,,,,,,0.08,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,0.0149,,,,,,high T tensile,OIM,10.1016/j.msea.2013.03.084,433,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2013.03.084,10.1016/j.msea.2013.03.084,Y,Mohamed2013,TRUE,C/T6,,,T6,,,,305.21,,340.212,,,,,,,,TRUE,,1.83,,,,9.1,,0.45,,,,,,0.07,,0.21,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0.0145,,,,,,high T tensile,OIM,10.1016/j.msea.2013.03.084,437,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2013.03.084,10.1016/j.msea.2013.03.084,Y,Mohamed2013,TRUE,D/T6,,,T6,,,,312.512,,339.852,,,,,,,,TRUE,,1.86,,,,9.1,,0.46,,,,,,0.08,,0.22,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,0.0122,,,,,,high T tensile,OIM,10.1016/j.msea.2013.03.084,441,4000,,Composition converted from At Frac,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2013.03.084,10.1016/j.msea.2013.03.084,Y,Mohamed2013,TRUE,E/T6,,,T6,,,,316.354,,346.212,,,,,,,,TRUE,,1.85,,,,9.01,,0.45,,,,,,0.08,,0.21,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,0.0127,,,,,,high T tensile,OIM,10.1016/j.msea.2013.03.084,445,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.05.059,10.1016/j.msea.2014.05.059,Y,Casari2014,TRUE,A356 - T6,,,T6,,,,183.2,,212,,0.99,,,,,,TRUE,,,,,,7.054,,0.355,,,,,,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,0.007,,,,some intermetallic characterization,,10.1016/j.msea.2014.05.059,449,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.05.059,10.1016/j.msea.2014.05.059,Y,Casari2014,TRUE,Ni - T6,,,T6,,,,212.7,,244.6,,0.9,,,,,,TRUE,,,,,,6.902,,0.344,,,,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,,,,0.007,,,,some intermetallic characterization,,10.1016/j.msea.2014.05.059,450,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.05.059,10.1016/j.msea.2014.05.059,Y,Casari2014,TRUE,V - T6,,,T6,,,,216.9,,250.4,,1.14,,,,,,TRUE,,,,,,6.992,,0.349,,,,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,0.108,,,,some intermetallic characterization,,10.1016/j.msea.2014.05.059,451,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.05.059,10.1016/j.msea.2014.05.059,Y,Casari2014,TRUE,A356 PM - T6,,,T6,,,,224.3,,282,,3.22,,,,,,TRUE,,,,,,7.054,,0.355,,,,,,0.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,0.007,,,,some intermetallic characterization,,10.1016/j.msea.2014.05.059,452,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.05.059,10.1016/j.msea.2014.05.059,Y,Casari2014,TRUE,Ni PM - T6,,,T6,,,,228.7,,284.8,,3.25,,,,,,TRUE,,,,,,6.902,,0.344,,,,,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,,,,,,,,,,,,0.007,,,,some intermetallic characterization,,10.1016/j.msea.2014.05.059,453,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.05.059,10.1016/j.msea.2014.05.059,Y,Casari2014,TRUE,V PM - T6,,,T6,,,,224.2,,289.5,,3.6,,,,,,TRUE,,,,,,6.992,,0.349,,,,,,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,,,,,,,,,,,0.108,,,,some intermetallic characterization,,10.1016/j.msea.2014.05.059,454,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2004.08.056,10.1016/j.msea.2004.08.056,Y,Park2005,TRUE,Rheocasting,A356,,T6,,,,209,,272,,12.9,,,,,,TRUE,,,,,,7.2,,0.38,,,,,,0.13,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrosion,OM,10.1016/j.msea.2004.08.056,460,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2004.08.056,10.1016/j.msea.2004.08.056,Y,Park2005,TRUE,Low-pressure casting,A356,,T6,,,,251,,294,,4.5,,,,,,TRUE,,,,,,7.22,,0.42,,,,,,0.09,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corrosion,OM,10.1016/j.msea.2004.08.056,461,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.11.026,10.1016/j.msea.2011.11.026,Y,Wisut2012,TRUE,GISS-T6 aging (165degC-18h),A356,,T6,,,,277,,312,,7.6,,96.48780488,plot,HRE,,TRUE,,0.2,,0.1,,7,,0.35,,0.1,,,,0.2,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OM,10.1016/j.msea.2011.11.026,491,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.11.026,10.1016/j.msea.2011.11.026,Y,Wisut2012,TRUE,GISS-T6 aging (195degC-3h),A356,,T6,,,,272,,305,,9.8,,94.58536585,plot,HRE,,TRUE,,0.2,,0.1,,7,,0.35,,0.1,,,,0.2,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OM,10.1016/j.msea.2011.11.026,492,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.11.026,10.1016/j.msea.2011.11.026,Y,Wisut2012,TRUE,GISS-T6 aging (225degC-15min),A356,,T6,,,,125,,226,,14.9,,94.09756098,plot,HRE,,TRUE,,0.2,,0.1,,7,,0.35,,0.1,,,,0.2,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OM,10.1016/j.msea.2011.11.026,493,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.01.041,10.1016/j.msea.2011.01.041,Y,Fang2011,TRUE,T4,,,T4,,,,151,,285,,14.08,,,,,,TRUE,,,,,,12.7,,0.7,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2011.01.041,505,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.01.041,10.1016/j.msea.2011.01.041,Y,Fang2011,TRUE,T6 (solution treatment at 540degC for 90min+aged at 180degC for 1h),,,T6,,,,186,,307,,14,,,,,,TRUE,,,,,,12.7,,0.7,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2011.01.041,506,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.01.041,10.1016/j.msea.2011.01.041,Y,Fang2011,TRUE,T6 (solution treatment at 540degC for 90min+aged at 180degC for 2h),,,T6,,,,242,,338,,8.43,,,,,,TRUE,,,,,,12.7,,0.7,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2011.01.041,507,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2011.01.041,10.1016/j.msea.2011.01.041,Y,Fang2011,TRUE,T6 (solution treatment at 540degC for 90min+aged at 180degC for 3h),,,T6,,,,282,,365,,7.44,,,,,,TRUE,,,,,,12.7,,0.7,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.msea.2011.01.041,508,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.01.009,10.1016/j.msea.2014.01.009,Y,Jiang2014,TRUE,T6,A357,,T6,,,,286,,310,,2.56,,110,table,HBS,,TRUE,,,,,,6.75,,0.63,,,,,,0.084,,0.14,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,SEM,10.1016/j.msea.2014.01.009,552,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.01.009,10.1016/j.msea.2014.01.009,Y,Jiang2014,TRUE,T6,A357,,T6,,,,290,,322.3,,3.12,,115,table,HBS,,TRUE,,,,,,6.75,,0.63,,,,,,0.084,,0.14,,,,,,,,,,,,,,0.065,,,,,,,,,,0.035,,,,,,,,,,,,,,,,,,,,,SEM,10.1016/j.msea.2014.01.009,553,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.01.009,10.1016/j.msea.2014.01.009,Y,Jiang2014,TRUE,T6,A357,,T6,,,,312.2,,349.1,,3.89,,120,table,HBS,,TRUE,,,,,,6.75,,0.63,,,,,,0.084,,0.14,,,,,,,,,,,,,,0.13,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,SEM,10.1016/j.msea.2014.01.009,554,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.msea.2014.01.009,10.1016/j.msea.2014.01.009,Y,Jiang2014,TRUE,T6,A357,,T6,,,,287,,324.2,,3.36,,116,table,HBS,,TRUE,,,,,,6.75,,0.63,,,,,,0.084,,0.14,,,,,,,,,,,,,,0.195,,,,,,,,,,0.105,,,,,,,,,,,,,,,,,,,,,SEM,10.1016/j.msea.2014.01.009,555,4000,,,journal_article,Materials Science and Engineering: A,Elsevier BV,TRUE,FALSE,FALSE
10.1016/j.jmatprotec.2016.01.030,10.1016/j.jmatprotec.2016.01.030,Y,Liang2016,TRUE,As-cast(T6),,,T6,,,,236,,282,,1.9,,,,,,TRUE,,0.01,,,,7.4,,0.28,,,,,,0.14,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1016/j.jmatprotec.2016.01.030,562,4000,,,journal_article,Journal of Materials Processing Technology,Elsevier BV,TRUE,FALSE,FALSE
